iteration,x1,x2
0,-1.86612,-0.680143
1,-1.84307,-0.288369
2,-1.82373,0.00443761
3,-1.80773,0.223296
4,-1.79468,0.386913
5,-1.78417,0.509265
6,-1.77581,0.60079
7,-1.76923,0.66928
8,-1.76411,0.72055
9,-1.76014,0.758944
10,-1.7571,0.787703
11,-1.75477,0.809251
12,-1.753,0.825399
13,-1.75166,0.837503
14,-1.75064,0.846577
15,-1.74988,0.85338
16,-1.7493,0.858481
17,-1.74886,0.862306
18,-1.74854,0.865174
19,-1.74829,0.867325
20,-1.74811,0.868938
21,-1.74797,0.870147
22,-1.74786,0.871055
23,-1.74779,0.871735
24,-1.74773,0.872245
25,-1.74768,0.872628
26,-1.74765,0.872915
27,-1.74763,0.87313
28,-1.74761,0.873292
29,-1.74759,0.873413
30,-1.74758,0.873504
